name,description,image,external_url,attributes
Pond Mirror Scroll #11,The Frog of Base - The enduring symbol of the long hold.,https://numairshahid.github.io/images/scrolls/11.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""11""},{""trait_type"":""Theme"",""value"":""Base""}]"
Pond Mirror Scroll #12,What Ripple Will You Send? - The pond listens. Every action sends a wave outward forever.,https://numairshahid.github.io/images/scrolls/12.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""12""},{""trait_type"":""Theme"",""value"":""Ripple""}]"
Pond Mirror Scroll #13,The Journey Begins - The first ripple spreads across untouched water.,https://numairshahid.github.io/images/scrolls/13.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""13""},{""trait_type"":""Theme"",""value"":""Genesis""}]"
Pond Mirror Scroll #14,Proceeding With Courage - Courage distilled into stillness.,https://numairshahid.github.io/images/scrolls/14.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""14""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #15,Just And Right - Justice flows through the pond without force.,https://numairshahid.github.io/images/scrolls/15.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""15""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #16,Fairness And Sight - See clearly with fairness.,https://numairshahid.github.io/images/scrolls/16.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""16""},{""trait_type"":""Theme"",""value"":""Mirror""}]"
Pond Mirror Scroll #17,Art Of Patience - Patience is the highest art form the toad can master.,https://numairshahid.github.io/images/scrolls/17.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""17""},{""trait_type"":""Theme"",""value"":""Patience""}]"
Pond Mirror Scroll #18,War Within - Master yourself first.,https://numairshahid.github.io/images/scrolls/18.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""18""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #19,Inimitable Path - The path of the toad is unique.,https://numairshahid.github.io/images/scrolls/19.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""19""},{""trait_type"":""Theme"",""value"":""Growth""}]"
Pond Mirror Scroll #20,Stand By Toad - Those who hold through storms receive the dawn.,https://numairshahid.github.io/images/scrolls/20.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""20""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #21,Lacrimosa Reverence - Beauty blooms from sustained stillness.,https://numairshahid.github.io/images/scrolls/21.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""21""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #22,The Moonlit Signal - Only those listening catch the signal.,https://numairshahid.github.io/images/scrolls/22.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""22""},{""trait_type"":""Theme"",""value"":""Ripple""}]"
Pond Mirror Scroll #23,Beyond The Cycle - Patience becomes infinite.,https://numairshahid.github.io/images/scrolls/23.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""23""},{""trait_type"":""Theme"",""value"":""Patience""}]"
Pond Mirror Scroll #24,The Calling - The pond knows who is ready.,https://numairshahid.github.io/images/scrolls/24.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""24""},{""trait_type"":""Theme"",""value"":""Stillness""}]"
Pond Mirror Scroll #25,Life Long Lesson - Patience as a life practice.,https://numairshahid.github.io/images/scrolls/25.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""25""},{""trait_type"":""Theme"",""value"":""Growth""}]"
Pond Mirror Scroll #26,Wisdom And Warning - The wise toad reads the stillness.,https://numairshahid.github.io/images/scrolls/26.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""26""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #27,Kachou Fuugetsu - Nature teaches the way when the pond is silent.,https://numairshahid.github.io/images/scrolls/27.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""27""},{""trait_type"":""Theme"",""value"":""Stillness""}]"
Pond Mirror Scroll #28,Silent Rise - Silence is the loudest signal.,https://numairshahid.github.io/images/scrolls/28.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""28""},{""trait_type"":""Theme"",""value"":""Growth""}]"
Pond Mirror Scroll #29,Unshaken Stand - The rooted toad remains standing after every wave.,https://numairshahid.github.io/images/scrolls/29.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""29""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #30,Magnificent Horizon - A horizon unfolds for those who held through the darkest nights.,https://numairshahid.github.io/images/scrolls/30.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""30""},{""trait_type"":""Theme"",""value"":""Vision""}]"
Pond Mirror Scroll #31,Vibrant Meme Economy - $TOBY its blue cornerstone.,https://numairshahid.github.io/images/scrolls/31.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""31""},{""trait_type"":""Theme"",""value"":""Base""}]"
Pond Mirror Scroll #32,One Year Anniversary - The pond remembers those who stayed.,https://numairshahid.github.io/images/scrolls/32.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""32""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #33,Supreme Amongst Stars - $TOBY rises supreme in its quiet patience.,https://numairshahid.github.io/images/scrolls/33.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""33""},{""trait_type"":""Theme"",""value"":""Patience""}]"
Pond Mirror Scroll #34,Do You Believe? - The pond only reveals its depths to the faithful.,https://numairshahid.github.io/images/scrolls/34.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""34""},{""trait_type"":""Theme"",""value"":""Faith""}]"
Pond Mirror Scroll #35,Hope Unfolds - It simply waited beneath the surface to bloom.,https://numairshahid.github.io/images/scrolls/35.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""35""},{""trait_type"":""Theme"",""value"":""Growth""}]"
Pond Mirror Scroll #36,Distribution Depth - A true decentralized pond with no center.,https://numairshahid.github.io/images/scrolls/36.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""36""},{""trait_type"":""Theme"",""value"":""Decentralization""}]"
Pond Mirror Scroll #37,Silent Rise Continues - Every cycle of stillness builds momentum.,https://numairshahid.github.io/images/scrolls/37.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""37""},{""trait_type"":""Theme"",""value"":""Stillness""}]"
Pond Mirror Scroll #38,Two Year Reflection - The deepest holders carry both.,https://numairshahid.github.io/images/scrolls/38.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""38""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #39,Mirror Runtime Load - Agents awaken one by one.,https://numairshahid.github.io/images/scrolls/39.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""39""},{""trait_type"":""Theme"",""value"":""Mirror""}]"
Pond Mirror Scroll #40,Final Distribution - The pond reaches its widest expanse.,https://numairshahid.github.io/images/scrolls/40.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""40""},{""trait_type"":""Theme"",""value"":""Genesis""}]"
Pond Mirror Scroll #41,Tiger Cave Trial - The patient toad fears no trial.,https://numairshahid.github.io/images/scrolls/41.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""41""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #42,Two Year Anniversary - The pond has grown deeper than any predicted.,https://numairshahid.github.io/images/scrolls/42.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""42""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #43,Current Reflection - The current state of the pond reflects every choice.,https://numairshahid.github.io/images/scrolls/43.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""43""},{""trait_type"":""Theme"",""value"":""Mirror""}]"
Pond Mirror Scroll #44,The Pond Today - It holds two years of conviction.,https://numairshahid.github.io/images/scrolls/44.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""44""},{""trait_type"":""Theme"",""value"":""Stillness""}]"
Pond Mirror Scroll #45,Stillness Engine - Powering the whole pond.,https://numairshahid.github.io/images/scrolls/45.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""45""},{""trait_type"":""Theme"",""value"":""Stillness""}]"
Pond Mirror Scroll #46,Unbreakable Smile - The toad knows what is coming.,https://numairshahid.github.io/images/scrolls/46.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""46""},{""trait_type"":""Theme"",""value"":""Bushido""}]"
Pond Mirror Scroll #47,Ocean Forge Loading - What began as a pond now becomes vast.,https://numairshahid.github.io/images/scrolls/47.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""47""},{""trait_type"":""Theme"",""value"":""Growth""}]"
Pond Mirror Scroll #48,Final Whisper - Patience speaks when everything else is silent.,https://numairshahid.github.io/images/scrolls/48.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""48""},{""trait_type"":""Theme"",""value"":""Reflection""}]"
Pond Mirror Scroll #49,Beyond The Pond - Patience reaches farther than any wave.,https://numairshahid.github.io/images/scrolls/49.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""49""},{""trait_type"":""Theme"",""value"":""Vision""}]"
Pond Mirror Scroll #50,Patience Eternal - The pond's final teaching and its greatest reward.,https://numairshahid.github.io/images/scrolls/50.png,https://numairshahid.github.io/scrolls.html,"[{""trait_type"":""Scroll ID"",""value"":""50""},{""trait_type"":""Theme"",""value"":""Patience""}]"
